board_area,board_number,runtime,dig_density
100,0,0.053,0.31
100,1,0.064,0.28
100,2,0.068,0.39
100,3,0.056,0.3
100,4,0.062,0.32
200,0,0.205,0.27
200,1,0.229,0.295
200,2,0.247,0.305
200,3,0.266,0.355
200,4,0.24,0.315
300,0,0.426,0.30333333333333334
300,1,0.459,0.3333333333333333
300,2,0.559,0.33
300,3,0.436,0.26666666666666666
300,4,0.538,0.30666666666666664
400,0,0.803,0.32
400,1,1.019,0.3475
400,2,0.962,0.31
400,3,0.983,0.32
400,4,1.007,0.325
500,0,1.438,0.318
500,1,1.53,0.312
500,2,1.816,0.312
500,3,1.9,0.33
500,4,1.31,0.32
600,0,2.093,0.3283333333333333
600,1,2.07,0.31
600,2,2.067,0.3016666666666667
600,3,1.932,0.3
600,4,2.224,0.33666666666666667
700,0,2.302,0.32142857142857145
700,1,3.104,0.33714285714285713
700,2,2.692,0.34285714285714286
700,3,3.005,0.33714285714285713
700,4,3.112,0.3357142857142857
800,0,3.856,0.32375
800,1,3.909,0.3325
800,2,3.915,0.32125
800,3,4.495,0.31875
800,4,4.102,0.3375
1000,0,5.905,0.325
1000,1,5.616,0.313
1000,2,6.06,0.323
1000,3,6.22,0.336
1000,4,6.364,0.329
900,0,6.228,0.34444444444444444
900,1,4.896,0.3211111111111111
900,2,6.233,0.3333333333333333
900,3,4.938,0.3233333333333333
900,4,5.818,0.31333333333333335
