board_area,board_number,runtime,dig_density,,,,board_area,algo1_runtime,algo2_runtime,,board_area,algo1_dig_density,algo2_dig_density
100,0,0.038,0.44,,,,100,0.038,0.117,,100,0.44,0.34
100,1,0.041,0.43,,,,100,0.041,0.108,,100,0.43,0.32
100,2,0.04,0.48,,,,100,0.04,0.108,,100,0.48,0.29
100,3,0.047,0.6,,,,100,0.047,0.076,,100,0.6,0.25
100,4,0.059,0.64,,,,100,0.059,0.116,,100,0.64,0.3
200,0,0.138,0.46,,,,200,0.138,0.371,,200,0.46,0.32
200,1,0.155,0.445,,,,200,0.155,0.334,,200,0.445,0.32
200,2,0.192,0.52,,,,200,0.192,0.397,,200,0.52,0.295
200,3,0.134,0.39,,,,200,0.134,0.361,,200,0.39,0.34
200,4,0.19,0.58,,,,200,0.19,0.378,,200,0.58,0.335
300,0,0.419,0.56,,,,300,0.419,0.734,,300,0.56,0.323333333
300,1,0.419,0.533333333,,,,300,0.419,0.764,,300,0.533333333,0.336666667
300,2,0.434,0.603333333,,,,300,0.434,0.651,,300,0.603333333,0.3
300,3,0.399,0.536666667,,,,300,0.399,0.81,,300,0.536666667,0.346666667
300,4,0.466,0.643333333,,,,300,0.466,0.702,,300,0.643333333,0.33
400,0,0.782,0.58,,,,400,0.782,1.26,,400,0.58,0.3325
400,1,0.712,0.5125,,,,400,0.712,1.332,,400,0.5125,0.35
400,2,0.769,0.5875,,,,400,0.769,1.279,,400,0.5875,0.345
400,3,0.728,0.5375,,,,400,0.728,1.181,,400,0.5375,0.32
400,4,0.859,0.645,,,,400,0.859,1.445,,400,0.645,0.315
500,0,1.331,0.62,,,,500,1.331,2.293,,500,0.62,0.328
500,1,1.327,0.61,,,,500,1.327,2.268,,500,0.61,0.338
500,2,1.49,0.724,,,,500,1.49,2.205,,500,0.724,0.334
500,3,1.283,0.588,,,,500,1.283,2.163,,500,0.588,0.336
500,4,1.363,0.64,,,,500,1.363,1.857,,500,0.64,0.29
600,0,2.225,0.711666667,,,,600,2.225,2.882,,600,0.711666667,0.326666667
600,1,2.056,0.595,,,,600,2.056,2.951,,600,0.595,0.343333333
600,2,2.025,0.568333333,,,,600,2.025,2.795,,600,0.568333333,0.323333333
600,3,1.865,0.551666667,,,,600,1.865,2.859,,600,0.551666667,0.328333333
600,4,1.786,0.508333333,,,,600,1.786,3.005,,600,0.508333333,0.333333333
700,0,3.214,0.721428571,,,,700,3.214,3.633,,700,0.721428571,0.322857143
700,1,2.702,0.604285714,,,,700,2.702,3.842,,700,0.604285714,0.344285714
700,2,2.617,0.59,,,,700,2.617,3.817,,700,0.59,0.337142857
700,3,2.911,0.641428571,,,,700,2.911,3.76,,700,0.641428571,0.331428571
700,4,2.698,0.567142857,,,,700,2.698,3.738,,700,0.567142857,0.332857143
800,0,3.348,0.56625,,,,800,3.348,4.815,,800,0.56625,0.32625
800,1,3.626,0.57875,,,,800,3.626,4.898,,800,0.57875,0.33375
800,2,3.387,0.52125,,,,800,3.387,5.055,,800,0.52125,0.335
800,3,3.428,0.53125,,,,800,3.428,5.046,,800,0.53125,0.33625
800,4,4.034,0.70875,,,,800,4.034,4.886,,800,0.70875,0.33
1000,0,5.657,0.548,,,,1000,5.657,7.554,,1000,0.548,0.342
1000,1,6.261,0.669,,,,1000,6.261,7.233,,1000,0.669,0.331
1000,2,5.856,0.554,,,,1000,5.856,7.384,,1000,0.554,0.335
1000,3,6.243,0.587,,,,1000,6.243,7.124,,1000,0.587,0.324
1000,4,7.253,0.786,,,,1000,7.253,7.191,,1000,0.786,0.33
900,0,5.048,0.602222222,,,,900,5.048,6.165,,900,0.602222222,0.325555556
900,1,4.991,0.622222222,,,,900,4.991,6.724,,900,0.622222222,0.342222222
900,2,5.121,0.662222222,,,,900,5.121,6.511,,900,0.662222222,0.342222222
900,3,4.919,0.651111111,,,,900,4.919,6.22,,900,0.651111111,0.323333333
900,4,4.959,0.61,,,,900,4.959,6.506,,900,0.61,0.335555556
