board_area,board_number,runtime,dig_density
100,0,0.117,0.34
100,1,0.108,0.32
100,2,0.108,0.29
100,3,0.076,0.25
100,4,0.116,0.3
200,0,0.371,0.32
200,1,0.334,0.32
200,2,0.397,0.295
200,3,0.361,0.34
200,4,0.378,0.335
300,0,0.734,0.3233333333333333
300,1,0.764,0.33666666666666667
300,2,0.651,0.3
300,3,0.81,0.3466666666666667
300,4,0.702,0.33
400,0,1.26,0.3325
400,1,1.332,0.35
400,2,1.279,0.345
400,3,1.181,0.32
400,4,1.445,0.315
500,0,2.293,0.328
500,1,2.268,0.338
500,2,2.205,0.334
500,3,2.163,0.336
500,4,1.857,0.29
600,0,2.882,0.32666666666666666
600,1,2.951,0.3433333333333333
600,2,2.795,0.3233333333333333
600,3,2.859,0.3283333333333333
600,4,3.005,0.3333333333333333
700,0,3.633,0.32285714285714284
700,1,3.842,0.3442857142857143
700,2,3.817,0.33714285714285713
700,3,3.76,0.3314285714285714
700,4,3.738,0.33285714285714285
800,0,4.815,0.32625
800,1,4.898,0.33375
800,2,5.055,0.335
800,3,5.046,0.33625
800,4,4.886,0.33
1000,0,7.554,0.342
1000,1,7.233,0.331
1000,2,7.384,0.335
1000,3,7.124,0.324
1000,4,7.191,0.33
900,0,6.165,0.32555555555555554
900,1,6.724,0.3422222222222222
900,2,6.511,0.3422222222222222
900,3,6.22,0.3233333333333333
900,4,6.506,0.33555555555555555
