bomb_density,board_number,runtime,dig_density,,,,,,bomb_density,algo1_runtime,algo2_runtime,,bomb_density,algo1_dig_density,algo2_dig_density
2,0,0.357,0.2675,,,,,,2,0.357,0.563,,2,0.2675,0.1425
2,1,0.627,0.535,,,,,,2,0.627,0.744,,2,0.535,0.1775
2,2,0.427,0.355,,,,,,2,0.427,0.754,,2,0.355,0.17
2,3,0.459,0.355,,,,,,2,0.459,0.792,,2,0.355,0.21
2,4,0.489,0.43,,,,,,2,0.489,0.713,,2,0.43,0.185
4,0,0.566,0.445,,,,,,4,0.566,0.851,,4,0.445,0.2225
4,1,0.529,0.425,,,,,,4,0.529,0.903,,4,0.425,0.235
4,2,0.482,0.3725,,,,,,4,0.482,0.837,,4,0.3725,0.22
4,3,0.625,0.475,,,,,,4,0.625,0.872,,4,0.475,0.23
4,4,0.641,0.4325,,,,,,4,0.641,0.911,,4,0.4325,0.245
6,0,0.768,0.6075,,,,,,6,0.768,1.067,,6,0.6075,0.26
6,1,0.577,0.47,,,,,,6,0.577,0.974,,6,0.47,0.2525
6,2,0.578,0.4675,,,,,,6,0.578,1.02,,6,0.4675,0.26
6,3,0.566,0.4325,,,,,,6,0.566,0.913,,6,0.4325,0.235
6,4,0.633,0.47,,,,,,6,0.633,1.052,,6,0.47,0.2675
8,0,0.848,0.7,,,,,,8,0.848,1.113,,8,0.7,0.3025
8,1,0.691,0.5075,,,,,,8,0.691,1.108,,8,0.5075,0.285
8,2,0.643,0.49,,,,,,8,0.643,1.138,,8,0.49,0.315
8,3,0.767,0.5875,,,,,,8,0.767,1.13,,8,0.5875,0.3025
8,4,0.726,0.535,,,,,,8,0.726,1.069,,8,0.535,0.28
10,0,0.703,0.535,,,,,,10,0.703,1.341,,10,0.535,0.335
10,1,0.803,0.5775,,,,,,10,0.803,1.305,,10,0.5775,0.3425
10,2,0.824,0.595,,,,,,10,0.824,1.247,,10,0.595,0.325
10,3,0.913,0.74,,,,,,10,0.913,1.22,,10,0.74,0.33
10,4,0.661,0.46,,,,,,10,0.661,1.386,,10,0.46,0.365
12,0,0.865,0.65,,,,,,12,0.865,1.415,,12,0.65,0.375
12,1,0.784,0.5675,,,,,,12,0.784,1.425,,12,0.5675,0.37
12,2,0.912,0.71,,,,,,12,0.912,1.304,,12,0.71,0.3525
12,3,0.789,0.585,,,,,,12,0.789,1.47,,12,0.585,0.38
12,4,0.807,0.5675,,,,,,12,0.807,1.417,,12,0.5675,0.36
14,0,0.917,0.67,,,,,,14,0.917,1.592,,14,0.67,0.405
14,1,0.99,0.755,,,,,,14,0.99,1.539,,14,0.755,0.4025
14,2,0.891,0.6175,,,,,,14,0.891,1.566,,14,0.6175,0.4125
14,3,0.898,0.6525,,,,,,14,0.898,1.508,,14,0.6525,0.4025
14,4,0.868,0.6325,,,,,,14,0.868,1.609,,14,0.6325,0.425
16,0,1.007,0.72,,,,,,16,1.007,1.757,,16,0.72,0.4525
16,1,1,0.7175,,,,,,16,1,1.577,,16,0.7175,0.415
16,2,0.919,0.6675,,,,,,16,0.919,1.722,,16,0.6675,0.4275
16,3,0.944,0.7,,,,,,16,0.944,1.497,,16,0.7,0.395
16,4,0.993,0.7,,,,,,16,0.993,1.59,,16,0.7,0.4125
18,0,1.048,0.8075,,,,,,18,1.048,1.726,,18,0.8075,0.4475
18,1,0.9,0.6325,,,,,,18,0.9,1.716,,18,0.6325,0.45
18,2,0.945,0.6475,,,,,,18,0.945,1.706,,18,0.6475,0.445
18,3,0.969,0.6625,,,,,,18,0.969,1.766,,18,0.6625,0.4575
18,4,0.941,0.6875,,,,,,18,0.941,1.606,,18,0.6875,0.4125
20,0,1.034,0.735,,,,,,20,1.034,1.838,,20,0.735,0.4825
20,1,1.018,0.75,,,,,,20,1.018,1.833,,20,0.75,0.4825
20,2,1.026,0.74,,,,,,20,1.026,1.81,,20,0.74,0.475
20,3,0.939,0.685,,,,,,20,0.939,1.851,,20,0.685,0.49
20,4,1.109,0.825,,,,,,20,1.109,1.859,,20,0.825,0.4925
