bomb_density,board_number,runtime,dig_density
02,0,0.563,0.1425
02,1,0.744,0.1775
02,2,0.754,0.17
02,3,0.792,0.21
02,4,0.713,0.185
04,0,0.851,0.2225
04,1,0.903,0.235
04,2,0.837,0.22
04,3,0.872,0.23
04,4,0.911,0.245
06,0,1.067,0.26
06,1,0.974,0.2525
06,2,1.02,0.26
06,3,0.913,0.235
06,4,1.052,0.2675
08,0,1.113,0.3025
08,1,1.108,0.285
08,2,1.138,0.315
08,3,1.13,0.3025
08,4,1.069,0.28
10,0,1.341,0.335
10,1,1.305,0.3425
10,2,1.247,0.325
10,3,1.22,0.33
10,4,1.386,0.365
12,0,1.415,0.375
12,1,1.425,0.37
12,2,1.304,0.3525
12,3,1.47,0.38
12,4,1.417,0.36
14,0,1.592,0.405
14,1,1.539,0.4025
14,2,1.566,0.4125
14,3,1.508,0.4025
14,4,1.609,0.425
16,0,1.757,0.4525
16,1,1.577,0.415
16,2,1.722,0.4275
16,3,1.497,0.395
16,4,1.59,0.4125
18,0,1.726,0.4475
18,1,1.716,0.45
18,2,1.706,0.445
18,3,1.766,0.4575
18,4,1.606,0.4125
20,0,1.838,0.4825
20,1,1.833,0.4825
20,2,1.81,0.475
20,3,1.851,0.49
20,4,1.859,0.4925
